name,gsis_id,rank,team,position,fumbles,pass_att,pass_comp,pass_ints,pass_tds,pass_2_pt,pass_yards,receptions,rec_tds,rec_2_pt,rec_yards,rush_att,rush_tds,rush_2_pt,rush_yards,kick_ret_tds,punt_ret_tds,fg_made_yards,made_pat,miss_pat,made_0_19,miss_0_19,made_20_29,miss_20_29,made_30_39,miss_30_39,made_40_49,miss_40_49,made_50_plus,miss_50_pluis,sacks,interceptions,fum_rec,safeties,def_tds,return_tds,pts_allowed
A.Peterson,00-0025394,1,MIN,RB,3,,,,,,,29,1,0,171,279,10,0,1266,,,,,,,,,,,,,,,,,,,,,,
L.McCoy,00-0027029,2,PHI,RB,1,,,,,,,52,2,0,540,314,9,0,1607,,,,,,,,,,,,,,,,,,,,,,
J.Charles,00-0026213,3,KC,RB,2,,,,,,,70,7,0,693,259,12,0,1288,,,,,,,,,,,,,,,,,,,,,,
M.Forte,00-0026184,4,CHI,RB,2,,,,,,,75,3,0,592,288,9,1,1341,,,,,,,,,,,,,,,,,,,,,,
M.Lynch,00-0025399,5,SEA,RB,1,,,,,,,36,2,0,316,301,12,0,1257,,,,,,,,,,,,,,,,,,,,,,
E.Lacy,00-0030485,6,GB,RB,1,,,,,,,35,0,0,257,284,11,0,1178,,,,,,,,,,,,,,,,,,,,,,
C.Johnson,00-0025389,7,DET,WR,1,,,,,,,84,12,0,1489,,,,,,,,,,,,,,,,,,,,,,,,,,
P.Manning,00-0010346,8,DEN,QB,6,659,450,10,55,0,5477,,,,,32,1,0,-31,,,,,,,,,,,,,,,,,,,,,,
A.Foster,00-0026796,9,HOU,RB,,,,,,,,22,1,0,183,121,1,1,542,,,,,,,,,,,,,,,,,,,,,,
J.Graham,00-0027696,10,NO,TE,0,,,,,,,86,16,0,1215,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Martin,00-0029613,11,TB,RB,0,,,,,,,12,0,0,66,127,1,0,456,0,,,,,,,,,,,,,,,,,,,,,
A.Rodgers,00-0023459,12,GB,QB,0,290,193,6,17,0,2536,,,,,30,0,0,120,,,,,,,,,,,,,,,,,,,,,,
D.Murray,00-0028009,13,DAL,RB,1,,,,,,,53,1,0,348,217,9,0,1124,,,,,,,,,,,,,,,,,,,,,,
L.Bell,00-0030496,14,PIT,RB,1,,,,,,,43,0,0,404,242,8,0,857,,,,,,,,,,,,,,,,,,,,,,
D.Thomas,00-0027874,15,DEN,WR,0,,,,,,,92,14,0,1430,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Green,00-0027942,16,CIN,WR,0,,,,,,,98,11,0,1426,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Brees,00-0020531,17,NO,QB,2,650,446,12,39,0,5162,,,,,34,3,0,54,,,,,,,,,,,,,,,,,,,,,,
D.Bryant,00-0027902,18,DAL,WR,1,,,,,,,93,13,0,1249,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,
Z.Stacy,00-0030536,19,STL,RB,1,,,,,,,26,1,0,141,249,7,0,972,,,,,,,,,,,,,,,,,,,,,,
B.Marshall,00-0024334,20,CHI,WR,,,,,,,,100,12,2,1295,,,,,0,,,,,,,,,,,,,,,,,,,,,
J.Jones,00-0027944,21,ATL,WR,1,,,,,,,41,2,0,580,1,0,0,7,,,,,,,,,,,,,,,,,,,,,,
J.Nelson,00-0026176,22,GB,WR,,,,,,,,85,8,0,1314,,,,,0,,,,,,,,,,,,,,,,,,,,,
A.Morris,00-0029141,23,WAS,RB,4,,,,,,,9,0,0,78,276,7,0,1275,,,,,,,,,,,,,,,,,,,,,,
A.Jeffery,00-0029137,24,CHI,WR,1,,,,,,,89,7,1,1421,16,0,0,105,,,,,,,,,,,,,,,,,,,,,,
M.Ball,00-0030522,25,DEN,RB,3,,,,,,,19,0,0,140,119,4,0,558,,,,,,,,,,,,,,,,,,,,,,
G.Bernard,00-0030456,26,CIN,RB,1,,,,,,,56,3,0,514,170,5,0,695,,,,,,,,,,,,,,,,,,,,,,
J.Thomas,00-0028067,27,DEN,TE,,,,,,,,65,12,0,788,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Brown,00-0027793,28,PIT,WR,0,1,1,0,0,0,15,109,8,0,1438,7,0,0,4,0,1,,,,,,,,,,,,,,,,,,,,
